     X_meter,            Y_meter,        Vel_Mag_m_p_s,       Water_Depth_m
4.745833278,-0.279735725,0.391948229,0.150351987
4.745833278,-0.359748016,0.387711995,0.150407767
4.745833278,-0.439760308,0.378175147,0.150457829
4.745814635,-0.521966988,0.357865936,0.150507462
4.745875043,-0.599999583,0.32823049,0.150546872
4.745816373,-0.677817487,0.309815914,0.15056847
4.745833278,-0.759809476,0.320879855,0.150588809
4.745833278,-0.839821768,0.34127977,0.150610852
4.745833278,-0.91983406,0.356354436,0.15062993
4.745833278,-0.999846351,0.364541452,0.1506523
4.745833278,-1.079858643,0.367921474,0.150672785
4.745833278,-1.159870935,0.368622998,0.150692889
4.745833278,-1.239883227,0.368060632,0.150711731
4.745833278,-1.319895519,0.367007357,0.150729212
4.745833278,-1.399907811,0.365834292,0.150745201
4.745833278,-1.479920103,0.364686924,0.150759561
4.745833278,-1.559932395,0.363578199,0.150772153
4.745833278,-1.639944687,0.362406919,0.150782901
4.745833278,-1.719956978,0.360911399,0.150791598
4.745833278,-1.79996927,0.358585817,0.15079836
4.745833278,-1.879981562,0.354552406,0.150802661
4.745833278,-1.959993854,0.347518555,0.15080517
4.864166887,1.96002369,0.010070246,0.149813898
4.864166887,1.880071069,0.011224881,0.149813678
4.864166887,1.800118449,0.012380961,0.149812634
4.864166887,1.720165829,0.013422515,0.149811197
4.864166887,1.640213208,0.014336178,0.149809132
4.864166887,1.560260588,0.015069518,0.14980656
4.864166887,1.480307968,0.015600976,0.149803364
4.864166887,1.400355347,0.015878334,0.149799808
4.864166887,1.320402727,0.015862846,0.149795552
4.864166887,1.240450106,0.015458999,0.149791554
4.864166612,1.160467874,0.014124251,0.149786426
4.864166612,1.080456029,0.007640942,0.149783102
4.864166612,1.000444184,0.036933416,0.149777129
4.864166612,0.920432339,0.105756358,0.14977638
4.864166612,0.840420494,0.163069299,0.149778764
4.864166612,0.760408649,0.210042294,0.149790277
4.864166612,0.680396804,0.249561102,0.149806304
4.864166612,0.600384959,0.282835573,0.149827716
4.864166612,0.520373115,0.310612332,0.149854742
4.864166612,0.44036127,0.333433177,0.14988704
4.864166612,0.360349425,0.351780533,0.149924339
4.864166612,0.28033758,0.366118792,0.149966124
4.864166612,0.200325735,0.376911613,0.150011723
4.864166612,0.12031389,0.384626512,0.150060321
4.864166612,0.040302045,0.38972884,0.150111035
4.864166612,-0.0397098,0.392667091,0.150162975
4.864166612,-0.119721645,0.39384519,0.15021525
4.864166612,-0.19973349,0.393549606,0.150267323
4.864166612,-0.279745335,0.391739071,0.150317803
4.864166612,-0.359757179,0.387499143,0.150367708
4.864166612,-0.439769024,0.377995581,0.150413281
4.864147933,-0.521895462,0.358591661,0.150457486
4.864208201,-0.599999598,0.331752633,0.15049342
4.864149677,-0.677896851,0.314085638,0.150515015
4.864166612,-0.759816404,0.322692323,0.15053566
4.864166612,-0.839828249,0.34142854,0.150556493
4.864166612,-0.919840094,0.356216935,0.150575625
4.864166612,-0.999851939,0.364634942,0.15059694
4.864166612,-1.079863784,0.368302351,0.150616593
4.864166612,-1.159875628,0.369221733,0.15063569
4.864166612,-1.239887473,0.368798792,0.150653404
4.864166612,-1.319899318,0.367831357,0.150669707
4.864166612,-1.399911163,0.366713371,0.150684494
4.864166612,-1.479923008,0.365602857,0.15069768
4.864166612,-1.559934853,0.364516283,0.150709173
4.864166612,-1.639946698,0.363349432,0.150718934
4.864166612,-1.719958543,0.361834113,0.150726807
4.864166612,-1.799970388,0.359457551,0.1507329
4.864166612,-1.879982233,0.355344607,0.150736787
4.864166612,-1.959994078,0.348223964,0.150738993
4.982500221,1.960022796,0.011341326,0.149817627
4.982500221,1.880068388,0.012506899,0.149817398
4.982500221,1.800113979,0.013616274,0.149816409
4.982500221,1.720159571,0.014573362,0.149814997
4.982500221,1.640205163,0.015356135,0.149812987
4.982500221,1.560250754,0.015918072,0.149810411
4.982500221,1.480296346,0.016240466,0.149807189
4.982500221,1.400341938,0.016266302,0.149803414
4.982500221,1.32038753,0.016009033,0.149798875
4.982500221,1.240433121,0.015273234,0.149794141
4.982499945,1.160450218,0.013742775,0.149787951
4.982499945,1.08043882,0.00667046,0.149783514
4.982499945,1.000427422,0.041590211,0.149774854
4.982499945,0.920416024,0.108423118,0.149775112
4.982499945,0.840404626,0.163533635,0.149781028
4.982499945,0.760393229,0.209464535,0.149795311
4.982499945,0.680381831,0.24843688,0.149813628
4.982499945,0.600370433,0.28148439,0.149836537
4.982499945,0.520359035,0.309073478,0.149863548
4.982499945,0.440347637,0.331819926,0.149894859
4.982499945,0.360336239,0.350184506,0.149930196
4.982499945,0.280324841,0.364611747,0.149969062
4.982499945,0.200313443,0.375548338,0.150010893
4.982499945,0.120302045,0.383445659,0.150055043
4.982499945,0.040290647,0.388753816,0.150100821
4.982499945,-0.039720751,0.391906607,0.150147541
4.982499945,-0.119732149,0.393291477,0.150194481
4.982499945,-0.199743547,0.393170091,0.150241243
4.982499945,-0.279754945,0.391456103,0.150286682
4.982499945,-0.359766342,0.387202071,0.150331438
4.982499945,-0.43977774,0.377751808,0.150372814
4.982481231,-0.521823936,0.359191976,0.150412382
4.98254136,-0.599999614,0.334628551,0.150445059
4.982482981,-0.677976214,0.31781012,0.150466164
4.982499945,-0.759823332,0.324479319,0.150486432
4.982499945,-0.83983473,0.341665364,0.150506081
4.982499945,-0.919846128,0.356095442,0.15052478
4.982499945,-0.999857526,0.364678012,0.150544904
4.982499945,-1.079868924,0.368602431,0.150563615
4.982499945,-1.159880322,0.369728893,0.150581671
4.982499945,-1.23989172,0.369441869,0.150598322
4.982499945,-1.319903118,0.368558088,0.150613576
4.982499945,-1.399914516,0.367492096,0.150627332
4.982499945,-1.479925913,0.366414259,0.150639535
4.982499945,-1.559937311,0.36534497,0.150650125
4.982499945,-1.639948709,0.364177494,0.150659082
4.982499945,-1.719960107,0.362637707,0.150666287
4.982499945,-1.799971505,0.36020685,0.15067184
4.982499945,-1.879982903,0.356013534,0.1506754
